epoch,0to1,0to2,0to3,1to0,1to2,1to3,2to0,2to1,2to3,3to0,3to1,3to2,acc,comp0,comp1,comp2,comp3,loss,pure0,pure1,pure2,pure3,val_0to1,val_0to2,val_0to3,val_1to0,val_1to2,val_1to3,val_2to0,val_2to1,val_2to3,val_3to0,val_3to1,val_3to2,val_acc,val_comp0,val_comp1,val_comp2,val_comp3,val_loss,val_pure0,val_pure1,val_pure2,val_pure3
0,0.029461711097289536,0.91066751672941093,0.0020164884626865387,0.045402025310870481,0.92956004335599784,0.0041433241327895835,0.064106343122308743,0.026090433985433158,0.0035427808213759869,0.033578431781600505,0.020596988170462495,0.92719712174114055,0.35891544117647056,0.057854286751107258,0.020894608296015683,0.90626044768620939,0.0039215687224093609,1.3659221863045412,0.23227149554911783,0.097426464562030399,0.36284272756208391,0.009191175594049342,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99999999649384441,0.3639705882352941,0.0,0.0,1.0,0.0,1.3338240665547989,0.0,0.0,0.3639705882352941,0.0
1,0.0029252637551351436,0.9628421699008497,0.0,0.025195331212862423,0.96531819076837144,0.0,0.017500940791906946,0.0052437304021137384,0.0,0.035802671869201871,0.0059114816360878236,0.93615071903265701,0.37007147798360646,0.034232567993209798,0.0094864787334172102,0.97725533020779476,0.0,1.3415593282676717,0.19835522440355549,0.044270228482018371,0.36939987577008354,0.0,0.0,0.97299113080368982,0.0,0.0,0.99999999584284283,0.0,0.0,0.0,0.0,0.0,0.0,0.99999998921386257,0.37134778510838834,0.027008869870443819,0.0,0.99528746465598494,0.0,1.3177588491592622,0.24128178444591813,0.0,0.36580624701727349,0.0
2,0.00056756710934699451,0.55136733641128588,0.0,0.11740129489296176,0.8799515978817789,0.0,0.099876067290417134,0.0046395641992739165,0.0,0.3650947337274813,0.0046114825916532161,0.61553703751848787,0.48236107910410558,0.44806510758394463,0.0026471108534876476,0.89548437062677544,0.0,1.2966992408964857,0.67364419163551537,0.022135113801223936,0.44837374740587504,0.0,0.0,0.68151959667331652,0.0,0.029238664238774248,0.97076133598593695,0.0,0.0027418388273219361,0.0,0.0,0.21823078186078301,0.0,0.77705668369404668,0.46277097081036977,0.31376787989236182,0.0,0.99725816207152285,0.0,1.249833146656155,0.76816094314905969,0.0,0.41687291352171363,0.0
3,0.004308708532631109,0.29467546238942111,0.0014085983498898524,0.19513109617033175,0.79771598781174935,0.0,0.1011052903750813,0.0046564150659175463,0.0,0.62139947485313562,0.0039351319068308827,0.34269244794007792,0.55914226432041225,0.6996072399085751,0.0071529220099929621,0.89423830024872286,0.0024594574555125907,1.1522857252837382,0.63472094325830175,0.033202671141621155,0.5410496338545685,0.0073783712670746444,0.0,0.34307181981236839,0.0,0.16522516471726167,0.83477484281056336,0.0,0.047428314018429278,0.0,0.0,0.66888379634943462,0.0,0.33111619499918427,0.56456173432536216,0.65692819220968057,0.0,0.95257168912752743,0.0,1.0898307232672488,0.62954479832339127,0.0,0.52937727346384333,0.0
4,0.003975191230677173,0.23243444536464511,0.0039698165601537282,0.2470849720404284,0.73110465604381569,0.0,0.088432570375246142,0.0017808676315722775,0.0,0.72970563108700603,0.0018445930366612867,0.25369302902679058,0.57897163949200769,0.75962055728598787,0.00705363878545218,0.90978656713660755,0.0,1.104301264106279,0.61219806265852983,0.044270227602447872,0.57880905466418342,0.0,0.0,0.26944418449541174,0.0,0.21798271148638496,0.78201729469317294,0.0,0.044785250480392988,0.0,0.0,0.77411246951406121,0.0,0.22117499604076848,0.58435438277022556,0.73055582418405818,0.0,0.95521475244085252,0.0,1.0417233572941025,0.62731577920868753,0.0,0.55531457521576122,0.0
5,0.003302515721249641,0.2017031295840466,0.004769856846769587,0.2875550585406591,0.69070510818080366,0.0041898614062343791,0.080004219803250495,0.0030770654746511438,0.002658105924543434,0.76179276473076352,0.011272513154522186,0.20971851704003544,0.5909614942028194,0.79022450681543033,0.010171613304027358,0.9142606127556222,0.0024594574555125907,1.0726521200426773,0.60997479818701217,0.051648598869522513,0.6091058247370299,0.0073783712670746444,0.0,0.018450290048942601,0.0,0.74680071838839113,0.24848675615488641,0.0,0.44703995293878812,0.0,0.0,0.99999998505670551,0.0,0.0,0.51366635252573267,0.98154971152403581,0.0,0.55296006144272847,0.0,1.2374958753810528,0.4234322270450448,0.0,0.78065045794487897,0.0
6,0.0084301118122863412,0.16953033978814816,0.0018445930366612867,0.31705014623747957,0.67077235425703252,0.0040258975905263809,0.078580207949221229,0.0097332771456073944,0.0,0.80827248280626141,0.012543232891178637,0.15778700085535066,0.60710168321176083,0.82019496207306508,0.0081516108206128209,0.91168651678113033,0.0066405349759591573,1.0115046754585919,0.60158135806027169,0.051648599749093013,0.63428235923966314,0.018445928607471861,0.0,0.25946696269748121,0.0,0.23356223128855397,0.76172523965934447,0.0,0.033132106374728014,0.0,0.0,0.70194335437742295,0.017593465583937894,0.24559041220101402,0.59754948167728994,0.74053305067283492,0.0,0.96686789632180636,0.0,0.9867420868981458,0.64049750695691476,0.0,0.57305692839914624,0.0
7,0.012985219624505934,0.15080178418906021,0.0043477851013612821,0.34413046281074416,0.63222362181132696,0.001742115651843788,0.066740568893033286,0.013810922452483772,0.00049189150209714939,0.7846745019797936,0.030066865749944046,0.15574513950572191,0.60963799871275826,0.83186521875382791,0.02190381083753435,0.91895662025836911,0.0,1.0092591913663931,0.60120172282916651,0.11436475705847587,0.65410852929758045,0.0,0.016074908892014024,0.083429676535891312,0.0,0.42997472180610102,0.52481187996608147,0.0,0.086452161445581724,0.013298893177093592,0.0,0.93862930678961753,0.020106818067027531,0.03655132272128897,0.62865221489161172,0.90049542254934212,0.040500876141762981,0.90024894908505937,0.0,0.93253010146242621,0.56091514867392489,0.19604145233413164,0.70739040051171742,0.0
8,0.01991764639334825,0.10888108226981942,0.0046366361640471044,0.35037902167295842,0.5852060976571577,0.0033202674879795786,0.05491877143658442,0.017174320559581908,0.00043402189259598382,0.81049587849183158,0.049215499833071594,0.11384945215924919,0.63569287534185559,0.86656464050518134,0.061094626045622859,0.92747289155358015,0.011682422748765336,0.93817147672355028,0.61617783118784086,0.22381060756184634,0.69247483426534495,0.040581042408695797,0.047710296907703571,0.14398321500934597,0.0,0.23524827197629478,0.6728348529754552,0.0,0.023424112268712136,0.024960776750598733,0.0,0.75914007487103807,0.10918719761782834,0.096799965515999606,0.62393967957568552,0.80830649898144347,0.091916881789585875,0.95161511334015669,0.0,0.90309136268892565,0.64928638069951006,0.2437951638943513,0.635085740480414,0.0
9,0.035760095434472505,0.10530785441824662,0.0035480109947684836,0.33203328950410066,0.56762070806449205,0.01006620799392936,0.047913753741728099,0.024108416038585309,0.0010945937148101434,0.78203717568845887,0.047537798262533022,0.13015799877526493,0.639151487258109,0.85538404687967673,0.090279804717458167,0.92688324079278261,0.014212150411009926,0.93163534441603368,0.61864614229694825,0.30089922214615367,0.70556076528950717,0.055337784942845088,0.093321655742634471,0.10806745094133929,0.0,0.21035044480898155,0.65881054632850233,0.0,0.013638388537551635,0.033003169337496453,0.0,0.77723321220315256,0.1094983790305063,0.083108179306332283,0.63147973621037634,0.7938983694322822,0.13083902425523303,0.9533584461697534,0.0,0.88636094921608222,0.64528920356110508,0.28250078745993884,0.66932776556275675,0.0
